Model,Accuracy,Precision,Recall,F1-score,AUC-ROC
Random Forest,0.9908018269474752,0.9857859099602005,0.9916805324459235,0.9887244355737578,0.998361788879724
SVM,0.9861710225831007,0.9823449994807353,0.9836730449251248,0.983008573655495,0.9830058864828517
Neural Net,0.9909075530745157,0.9835905349794238,0.9942283693843594,0.9888808440215143,0.9988434863475935
